start	end	text
0	1020	[♪ vibesgae- かa-対- for the movie after my完了 done with my life yet again
1020	2460	automocerna感覺 xD
2460	4480	[♪ vibesgae- nespo Astron shaved, a I heard a lighter
4480	5800	As time goes by the north of my body
5800	7520	As time goes by the east of my body
7520	8420	As time goes by the south of my body
8420	10360	As time goes by the west of my body
10360	12160	As time goes by the east of my body
12160	13220	As time goes by the north of my body
13220	14120	As time goes by the west of my body
14120	15820	Hammer ta beautiful pasure
15820	16900	Hammer to the heart
16900	18140	Hammer to the heart
