start	end	text
0	3840	A ký je ten najlepší cvýk na bočnej rámená podľa Jeffa Niparda?
3840	6540	What are the best and worst side Delt exercises.
6540	7820	Standing dumbbell lateral raise.
7820	9840	I don't love that you guys zero tension in a stretch.
9840	11000	I'll go...
11000	12200	Úpášky z jednú ruďka mi bol.
12200	15860	Ty pretože sa ti nie páči, že tam je nulove napitev na těhnú tej pozicí.
15860	17180	Jeff, Jeff, Jeff.
17180	20360	Háno, je to pravda, že v tejto spodnej pozicí nie ježiadné napitev
20360	23580	a túto úplneho reprity 90° je maximálne napitev.
23580	26020	Pretože gravitácia, hej to ne treba vysvetlovať.
26020	29420	Je to ale v prípade rámien problém? Vôbec nie, prečo?
29420	33420	Tak za prve rámená nebenefitujú z natihnutia z prostredkované hipertrofi.
33420	37020	Takých svaloch to je potrebné, aby bolo napäťi aj v tej natihnutie pozicí.
37020	40220	Pri tých svaloch to rebenefitujú z natihnutia z prostredkované hipertrofi.
40220	45820	Takže to, že je napäťi iba vo vrchné pozicí a na spodné pozicí nie je žaden napäťi, nie je žaden problém.
45820	48120	Za druhé rámená ni tak veľmi nevieš natihnuti.
48120	52120	O tejto pozicí, ktoré movadí, že nie je napäťi, nie je natihnuta pozicia.
52120	54120	Toto je anatomická pozicia rámien.
54120	58420	Myslíte si, že keď maš rámená v tejto pozicí, tak ich maš natihnuté, sú pod pasívnym napäťím?
58420	59720	Ja si to nemyslím.
59720	63920	Jediné negatívum, ktoré ja vnímám pri upažovaní s jednorúčkami je, ako sme uyspominuli,
63920	68320	na spodku je minimálne napäťi, alebo žiadne a na brchu je maximálne napäťi.
68320	72820	V losetku, čeho je to najmä ú začetočníkov alebo menej skúsených cvičencov,
72820	74820	náročne odhadnut, ktorý dosihne zlihanie.
74820	80220	To práve preto, že keď už dosihnu zlihania a už sa nemlácu dosť do tohto bodu, ktorý je v tomto prípadne najdôlejštejší,
80220	81520	pretože tam je najväčšie napäťi.
81520	87020	Tak robia ešte tento rossach pohybu a myslia si, že robia dobre a ty opakovania rátajú,
87020	94020	no je to zbytočné, pretože tu naozaj nie je žiadne napäťi a tým pádom si kásia trekovanie progresívneho pretažovanie.
94020	97020	Preto moje odporúčanie je správ si nejakú pomyselnú hranicu,
97020	104020	dajme tomu, že to bude 90° úroveň rámien, ktorý keď už nevlázeš dosihnuť, tak musí dosihneho zlihania a seriu skončíš.
104020	111420	Takže za mňa budú úpašky s jednorúčkami kľudne a týr, a keď dodržíš odporúčené, ktoré som ti dál, tak možno sa dostanie najdôlejska.
