start	end	text
0	3600	Svalová pumpa nie je tak úplne zbytočná ako každý tvrdý.
3600	8000	Mysleklím prečo. Každý tvrdý, že svalová pumpa je pre hipertrofiu priamo zbytočná
8000	11500	a jediný driver svaloveho rastu je mechanické napäťi. Čo je pravda?
11500	16200	Ja ale tvrdím, že svalová pumpa dokáže byť pre rast svalou nepriamo prostešná.
16200	20800	Šeci veľmi dobre poznáme ten pocit, keď si napumpovaný, jak prasa podrej sa do zerkadla
20800	25200	a normálne sa sa nepoznávaš. A ký je to pocit? No podľa mňa veľmi dobrý.
25200	30500	A podľa mňaťa v takomto prípade ten trénink bavi o mnoho viac, ako keď si sfúknutý, jak balón
30500	32700	a tým pádom si viac motivovaný.
32700	37000	A motivácie má priamo koraláciu s tým, aký výkon podáž či viac si motivovaný.
37000	40000	Tým lepši výkon podáž tým viac ste baví chodíť na tie tréninki
40000	42800	a teraz dlhodobieho hládiska získaš lepšie vysledky.
42800	47500	Dáve preto, ja zdi odporučil si tréninki nástaviť tak, aby boli jednak čo najoptimálnejši,
47500	49500	ale jednak abyte čo najviac bavili.
49500	54900	A teraz v žiadnom prípade dne odporučiam, aby ste vyhľadávala pumpu tým, že budeš robíť 10 sérí na partiu,
54900	57800	super serie, drop city a čo ja viem, čo všetkáve.
57800	60400	Také je to náhnanie pumpy, dokáže przviť tvoj progres.
60400	65400	Čo ale tvrdím je, že sa tréninki dajú nástaviť tak, aby boli výbornie optimálne no zároveň,
65400	68100	aby sa ní dokázal nejakú pumpu, aby ta čo najviac bavil.
68100	73100	A práve preto, i keď to je výborný tréninkový split, tak už môzne som fanužíkom flubali tréninkov,
73100	77600	tie je ta pumpa minimálna a práve preto preferujem skôr napríklad taký Aperlover,
77600	82700	kde si viem nástaviť viacero sérí na jednotlivé svalove partie a teda máš konieče lepšiu svalovu pumpu.
82700	88700	Pochial asi jeden z ľudí, kohol flubali tréninki bavia a nechybati pumpa, kludne v tom pokračují, je to výborný split.
88700	93500	Ďalšia vec čo môže spraviť, pre čo najlepšiu pumpu je zabezpečiť správny pietný režim majžnický
93500	96400	a spojeden litér vody vypitejí pred tým ako ideš na trénin.
96400	107400	Ďalej, sachary, kdy čo sú hlavným zdrom energie, zjeď tak 30 a 60 minút pretreningom nejakých 50 a 100 g rýchli sachary dobo formy ovoci a ryžových lebičkov, ryžovejkáše alebo niečeho podobného.
107400	112100	A tak tiež čo vie spraviť, že dnešnou dobo veľkým trendom je jednoducho použiť pretreningovú pumpu.
112100	117000	Je super sa riadiť čo najoptimálnejším ráda mi v fitness, no verím, že je dôle, že neto skombinovať s tým,
117000	121300	čo teba najviac baví, čo ti z dlhodobie o ládiska prinesie najlepšie možné výsledky.
121300	123700	A pre viac je to došený rád, ako tým ma zvoľ svojej treningy.
123700	124200	Hoď follow.
