start	end	text
0	3500	Narazul som na extrémne dobrý cívina tohoj predlakťa.
3500	4500	To zeraj.
9700	15000	A tým myslím konkrétne tento sval tu pod názvom brachyho radiális čo je reálne najväčší sval na tohoj predlakťa.
15000	17000	Prečo je toto výbornie cívina toho predlakťa?
17000	24500	Zaprvé, pretože brachyho radiális ma najlepšiu aktiváciu keď maš zohnuté lakte, zruba pri tých 90° fleksie lakte.
24500	27500	Čím viac maš lakteť vystretí, tým viac prebrá prácu bicers.
27500	29500	Čo mu sa v takomto prípade chceme vyhnúť.
29500	32500	No zládom k tomuto výbornému setupu, kedy to roviš posediačky,
32500	40000	Ča nohy ani nepustia do väčšieho vystretia lakťou a počas celého tohto rosaho pohybu ma najväčšiu aktiváciu práve brachyho radiális.
40000	46500	Klučovou podmienkoť cvične na toto cviku je cvične to nad matom, ako to cvičí túto pan, kedy najviac vyhodníš práve brachyho radiális.
46500	50000	Moja menšia rada ako tento cvík ešte vylepšiť použi trháčky.
50000	56000	Na to najmä pokeľ sa chceš zaceliť primárne iba na brachyho radiális a ní je aj na ostatné svali predlakťa.
56000	61500	Na koľkoť a pri takomto uchopie nad matom určite bude limitováť sila tvojho uchopu začo sa zodpovedne iné svali predlakťa.
61500	65500	No pokeľ sa ješ ozvičiť predlakťa ako celok, tak klučne to cvič aj bestráčiek.
65500	70000	Ešte k tomu tento cvičiš posediačky, takže to je perfektne stabilné cvík, aby to nebolo málo,
70000	74000	no reálne si neviem predstaví lepší cvík na brachyho radiális ako je toto.
74000	80000	Čože pokiaľ sú predlakťa svalova partia, ktorú by si chcel zlepšiť toto jej cvík, ktorý by som určiti to svojho treningu by o plámu záradil
80000	83000	a pre viac je to došený hľadnáko optimálizáť svojí treningy.
