start	end	text
0	3000	Priebehu jedného roka som stiaľo byť vo svojej životnej formie,
3000	7500	začo točiť kontent, hned na to sa zraní a stratiť asi 6 kg svalstva,
7500	12300	trápí sa zozranením asi 5 miesiacov a následne sa vrákíc 5 do svojej životnej formy.
12300	15200	V márci tohto roku som bol právne podobne vo svojej životnej formie,
15200	19200	sýce som bol čerstvo po oučích kiahniach, ktoré som dosťal vo prebruári alebo
19200	23000	Tvíčeň ma bavilo viadra koho cikery predtým a mám s vôblosti fitness kopec vedomosti,
23000	26500	na koko som posledný 2 alebo 3 roky venovalo zdelavaním vo fitness.
26500	29500	Videl som v dieru na sociálných sietech vo fitness zdelávacom odvetví,
29500	34500	na každom rohu som videl blúdy opakujúce sa z pred 50 rokov a chopil som sa priložitosti.
34500	37200	Týce sa to už našlo z oparšikových tvor celovno prišlo mi,
37200	40500	že ich spôsob podania informácii je často kár komplikovanieši
40500	45500	a že sa nájdú ľudia, ktorí uvitajú jednoduchší zrozumiteľnejši spôsob podania informácii.
45500	48300	Tak som v marci začal tvoriť obsah, no čo čer nechcel,
48300	52500	hneď v aprili došlo asi k najhoršiemu zranieniu za moju 12 ročnu fitness karriu.
52500	55500	Nie, že by sa niečo katastrofalne stalo, že by mi zlomilo rameňo alebo čo,
55500	60000	ale jednoducho som sa jedného rana zobudil s tým, že ma dosť intenzívne pobolieva práve rameňo.
60000	64800	Tak som si povedal, že však dám si 1-2 týždne pauzu a bude to v pohodie, ako to bolo vždy.
64800	66800	No samozrejme, že tomu tento krátak nebolo,
66800	70400	na koko som si našlo novú zalubutočne kontentu a potreboval som tvičiť.
70400	73800	A táto boles drame nás sa som mnou ťahala až 5 mesiacu.
73800	77500	Očas tých topi, akých mesiacom som spúšel aj prvdať 2 týždne pauzu, nepomôlo.
77500	79800	Potom mesiac pauzu ani to nepomôlo.
79800	82600	Tak som teda návštívil ortopéd, a ktorý mi povedal iba toho,
82600	87800	že mi nič lepšie ako operáciu ponúku nedokáže, ale že tieto operácie často nedopadajú dobré.
87800	90600	To mi teda úplne stačil a my som sa do tej ambulancii už da znevráť.
90600	94700	Tak som teda návštívil fizioterapiou, tak ktorý sa mi snažil pomôzť, a ktorý mi ja z častí pomohol,
94700	98900	no eventuálne som prišel na to, že mi s týmto problémom nemá veľmi kto ako pomôzť.
98900	104000	Tak som prišel na to, že najlepšo možnost toho bude jednoducho obmedziť pohyby, ktoré tomu rameňu padí.
104000	109400	Tak som prišel na to, ktoré pohyby musím obmedziť a vyskalaľ som si ponohodnoty treningový plán, ktorý cvičiť môžem.
109400	114800	Toto bolo asi 3 alebo 4 mňace z 5, od tedy cvičím dá sa povedať bez obmedzení, aplikujem jednoduché,
114800	121400	no dôležité príncipy prečo na efektínečne naberanie svalou, ktoré pokiaľ ma sleduješ tak viež, že stále opakujem dookoľa.
121400	129800	Za toto obdobie som sa preprácoval z 92, bo 93 kg dnešních 100 kg, čo sa dá povedať, že som opäť v mojej životnej formi.
129800	137800	Chvala bohu, že som počas tohto obdobia z rameňu, môžde mal žiadne problémino ponáčne z tohto videa je, že zranienia netreba poceňovať niecvičce z neprijemnú bolesť.
137800	143800	Daj tom odbych a pochiaľ to neprejde, tak vyhľadaj odborníka, aby sme dopadol ako ja pripadne ešte horsí.
143800	155800	A tak tiež, že v inútevým predstavkám sa pravdepodobne nikdo z nás nevyhéno nezúfaj, pretože svalova pamec skutočne existuje a dostani sa späť do formy o mnohorýchlejšie, ako ti trvalo tu formu v prvom radie vybudovať.
