start	end	text
0	3340	Farožov, kto si dovolil, tak to aj už je, že je úplne jepiči.
3340	7460	Každý stráv absolútne pohorsený, ja som nemá to, že nečo sa děje, tak som si to dohľadal a...
7460	10180	To je absolútný úlet, pomyslám na to spolupozrej.
10180	11900	999?
11900	15240	Neviem čo ako, že Faro chce takým do cvičením dosiahnuť.
15240	19740	To, že niekde nevládze robí z hiví z vlastnováho, to není hámba, ale v takomto prípade prebrávajú všetku prácu nohy
19740	21840	a tým pádom ten do cvík úplne stráca zmysel.
21840	25380	O mnoho lepšie v takomto prípade aj bolo kebyť jednoducho nákladku a tak robí zťahovania,
25380	29240	alebo keď sa robiť silou mocov z hiví, tak nehyde na ten strojná zibi, ktorý ti asystuje.
29240	33400	Sú to sa ako cvičí, prôzimťa, toto bude asi na ten trícep.
33400	34960	No toto teda asi na ten trícep vznebude.
34960	38520	Čo je, že trícep skôdne si uchoptúť o tíž rukami, nepotrebežať na tieto díhendu,
38520	42800	Zastabilize lakte pri těle a jednoducho iba rob extrénziu lakte, teda vystieraj laké.
42800	45000	Za túto funkciu je zodpovedný trícep.
45000	51080	Za ten pohyb, čo si tí robil na tomto videu, za ten pohyb tu zodpovedné krído a vlastne si robilo to isté, čo v prvom klípe, teda chcel.
51080	53120	Absolutne už teraz rozumiem tomu to pohoršeniu,
53120	58400	ferosia si neovedúme, ako je ma dosahy a ako o tým to škodí fitness, social media, priestoru.
