start	end	text
0	3200	Ak budeš tvíčiť s trháčkami, budeš mať malé predlaktie.
3200	6800	Toto typový iba niekdo kdo vy očičení asi toľko ako ja o štrikovanie.
6800	10200	To, že sú trháčky absoluto nutnosťou pri cvíkoch ako sú ar-dielka,
10200	13000	zťahovanie klatky pritahy, o tom sa ani bavidne musím.
13000	16400	Voj úchopti zliha o mnogo rýchlejšie ako cielove svali na týchto cvíkoch
16400	18800	a teraz tých cvíkov nevýťažiš ani z ďaléka maximu.
18800	21600	A argument je typu, že ty nepovževaš trháčky lebo si chlap
21600	25400	ja návrhujem záhodiť svoje ego, začaj je rozmýšľať, začať svičiť s rozumom
25400	29800	a teda je efektívnejšie, ďaká čemu budeš mať lepšie vysledky, ďaká čemu budeš je väčšich klat.
29800	32100	Válek predlaktiam, ja používam trháčky na každom,
32100	33900	tiahovam cvíku už minimálne 5 rokov
33900	37000	a predlaktia považujem za jednu z mojich najsonnejších partí.
37000	39400	Ale áno, to, že mám ja dobré predlaktia, neznamená automácik,
39400	42000	že budeš aj tých, každý máme predispozícije na iné veci.
42000	45100	Ako sa ale dámať navite predlaktia, keď použímaš trháčky?
45100	47600	No tak, že sváli predlaktia sú rovnaké, ako každe iné,
47600	51100	dajú sa priamo cvičiť a takéto priame cviče nebude obnoho efektívnejšie
51100	54000	a kemy sa ich snaží odvíčiť tým, že nebuješ trháčky používať.
54000	55500	Uplne ti na to stača dva cvíky,
55500	57600	na vnútornostran predlaktí nejaká forma,
57600	60300	flexie, zápesti ako vidíš, tu je jedno ako formou
60300	63100	a na brachy o radiális, čo je ta najväčšia guča na tých predlaktiach,
63100	67200	takéto z dvihi nad matom alebo hammer curls tak tiež nezaleží ako formou,
67200	69100	či už nakládke z jednú ručkami alebo ako.
69100	71400	Pokiaľ maš la dobre predlaktie na predlaktia,
71400	72700	ako mám je tak tieto cvíky,
72700	76000	ani veľmi nepotrebuje sviči tak, ako tieto sváli sú veľmi intenzívne
76000	78200	zapojené pri klasických bicepsových zlyhoch
78200	80200	alebo nejakých iných bicepsových cviko,
80200	82300	ktoré som si istý, že určite už cvičiš.
82300	83600	Takže sa snažiť cviči s rozumom,
83600	85500	Čo môžeš mať o mnoho lepšie vysledky
85500	88100	a pre viac je do dušených rád ako optymázovať svojí treningy.
88100	88600	Hoď poľo.
