start	end	text
0	4000	Robím rýchlejší progres vo fitku ako väčšina naturálou, prezradím ti ako.
4000	8000	Sú to dva kroky, ktoré sa stahujú primarie na viackolbové ťažke cvíky, ako snadka Drepia,
8000	12000	cvičím Hakem Drepia Ardielka alebo kúňa nejaký Tlakový cvík ako je napríklad Benchpress.
12000	16000	Pravý s týchto krokov je, že na tento cvík cvičím iba jednu pracenu sériu dvakra do týždňa.
16000	20000	Zladovom k tomu, že sa jedna o ťažke cvíky, na ktorých sa cvičí s velkými váhami,
20000	24000	tak je jedna pracená séria do zlihania alebo blízkoch zlihaniu, vie byť veľmi vyčerpávajúca.
24000	30000	Také by ich cvičím viac, jednakže by som na druhéj sérii už podal o doslapším výkon, ale takiež by som vytvaral na vyššet s váloj poškodenie
30000	35000	ajte daje cenec únavu, čo by z dlhodobého hlaviska vedelo negatyvne oflimit môj výkon kvôli regenerácii.
35000	40000	Teraz ale neznamená, že cvičím iba jednu sériu na danú partiu dvakra do týždňa, bavíme sa o konkrétnom cvík.
40000	46000	Robím to tak napríklad na hack-and-repoch, kde si potom ešte pridám jednu alebo dve sérii na predkopávanie a podľa toho vakom štádiu tréningu som.
46000	52000	Dajále pozoraj na týchto dodatkóvých cvíkol, aby to neprepávalo, aby to nasadujúcovho tréningu rovnaké partie už bol regenerované.
52000	61000	Krok číslo 2, deka ktorému mám rýchli progres, cvičím nízke počty opakovanie, ktorý som prešlo z typických 8 až 12 alebo 7 až 10 až 5 až 8 alebo do konca 4 až 7
61000	63000	moj progres sa rapidne z rýchudu.
63000	72000	To je to dáva zmysel, či väčšie počty opakovanie robíš, či väčšie stváľové pálenie posťieš, či väčšie kardióvá skoľare na roky tomá, čo sú všetko faktory, ktoré negatívne ovplyvňujú tvoj výkon.
72000	74000	A teda aj schopno spravíť progres na danej série.
74000	81000	Ak tiež či väčšie počty opakovanie robíš, či vytvaraš väčšie stváľové poškodenie, aj teda aj cenné zúnavu, čo dokážu spomalova tvoju regenerácii.
81000	87000	Ako podmienko takého to cvičenia je ovladať správnú tektiku na 100%, kým do toho nemáš zmáknuté takýmto niečím za zateľný tráv.
87000	94000	Takže pokiaľ maš problém s progresom s takýmto nejakým náročincikom skúzaníba jednu sériu 2x do tiežňa po nejakých 5 až 8 až 7 opakovanie
94000	99000	dopom to nejakými zmyslu plnými cvíky mi pozorala neprežento a uvidíš, čo sa stane.
