start	end	text
0	5100	Nízky počet serí v tréningu funguje iba v prípade, že tvíči skutočne tvrdo.
5100	10100	A práve toto je jedna z náviat zavádzajúci hlúpostí, ktorá kolú je pod dnešnom fitnesspríistor.
10100	14900	Každý silový tréning bude funguvať iba v prípade, že budeš tvíčiť skutočne tvrdo.
14900	22000	No to neznamená, že keď sa rozhodne, že nebudeš tvíčiť až tak tato, že to dokážeš výkompensovať tým, že si prídaš nejaké serie navíše.
22000	29800	Skutočne efektívne silome cvičenie je také, pri ktorom sa priblížeš ku zlíhaniu, prípadne dôstehneš úplneho zlíhania na niej je to úplne potrebné.
29800	37500	Je to skutočne jediná forma efektívneho cvičenia, pretože pri týchto posledných opakovaniách, zvičanie je to posledných 5 opakovanih od zlíhania,
37500	43300	keď ješ aj napriek toho, môžeš sa snážiš najsoniejšer ako vieš, tak sa títo opakovania nedobrovolne spomalujú.
43300	50400	Tak práve pri týchto opakovaniách aktívuješ cielených svaloch najväčšie svalove vlák, na ktoré majú najväčší potenciál rastu.
50400	55400	Skúsaniešších cvičencov sú to popravde jedine svalove vlák, na ktoré ešte majú nejakú schopnosť rastu.
55400	62600	Tý, keď sa rozladeži s cestou, nie tak tvrdého cvičenia na navíšisí serie, tyto najväčšie svalove vlák na neaktívuješ ani pri prvéj serie,
62600	69900	ani pri desia tej serie, pokiaľ nie cvičiť skutočne tvrdo, a práve preto bude takéto cvičenie z pohľadu rozvoja svalstva neeffektívne.
69900	76600	Takže nie bohužel, nemáš navíber, pokiaľ je tvojim cilom rozvoju svalstva musí cvičiť skutočne tvrdo tak, či ona.
76600	82900	Pripomínam, ale nie musí cvičiť všetko dosmažiť ozlihania. Zvičanie stačí úplne jedno, až dve opakovania odzlihania.
82900	86200	A pre viac jednodušený hrad ako z efektimi svojí treningy hoď polov.
