start	end	text
0	6000	Stačiť jeden cvíkl na bicepstrainingu, alebo ich treba robiť viac, a ktoré upresníme si to.
6000	14000	Biceps ma iba jednu primarnú funkciu, če je flexia lakťa, če je pohyb, ktorý si videl v predložšom klípe a če je pohyb, ktorý chcene ideálne naš biceps precivičiť.
14000	19000	A teda, keď ho chceme precivičiť iba jedným pohybom, má zmysl odcivičiť viacer od cvíkov.
19000	24000	Má, aj nemá, záleží od cvíku a konkrétne odivo silovej kriuky, vysvetlím.
24000	29000	Člová kriuka cvíku znamená vlastne v ktorej časti pohybu, je daný cvík najťašší a naopak ktorej najľašší.
29000	37000	Takže keď sa rozhodne svičiť biceps viacerimi cvíkmi, má to zmysel, ale iba v takom prípade, keď budú títo cvíky najnáročnejšie v rozdielnej časti pohybu.
37000	44000	Keď sa rozhodne svičiť biceps iba jedným cvíkom, zvoľ taký cvík, ktorý má konstantnú silovu kriuku, teda je rovnako ťažký v každej časti pohybu.
44000	45000	Ukážem príklad.
45000	53000	Pokiaľ sa rozhodne svičiť biceps z dvoma cvíkmi, prvý cvík zvoľ taký, ktorý bude najnáročnejší v nakiahnútej časti pohybu, ako sú napríklad príče curls.
53000	59000	A k tomu, pridaj nejaký cvík, ktorý bude najnáročnejší v skrátenej časti pohybu, ako sú napríklad klasické bicepsovec dvihy.
59000	67000	Pokiaľ sa rozhodne svičiť biceps iba jedným cvíkom, zvoľ taký cvík, ktorý má konstantnú silovu kriuku, čo dosiahneš najideálnejšie nakladke alebo nakladkových strojoch.
67000	72000	To môže být napríklad bicepsovec dvihy nakladke alebo príče curls na nakladkovom stroji.
72000	81000	Pokiaľ sa ještě silo mocoho predsvičiť aj brachy o radiálisť, čo je táto guča tu napredlaktí, tak by som tam zaradiť ešte nejaký cvík nadmatom alebo kľadivovi zvík.
81000	89000	Osobne to nepovažujem veľmi zapotrebné, pokiaľ ten brachy o radiálisť nemáš naozaj veľmi slabý, a to preto, pretože dostane veľmi intenzínu práco už predošli mi cvíkmi.
89000	98000	Obydve varianty sú úplne v poriadku, ja som skôr fanušik, tá jedno cvíko je varianty, keďže som skôr za jednoduchosť a takte si chcem šetriť energiú pre iné svalovej partie.
