start	end	text
0	3400	Kalorický surplus nie je potrebný pre naberanie svalstva.
3400	5400	Čo to? Čo za sračky zastrepeš do piči?
5400	6800	To to už obezni normálne.
6800	8800	Pozri sa, čo to znamená surpus?
8800	9800	Nabitok.
9800	11300	Prečo tej nabitok?
11300	15200	Pretože telo pre tej kalorii nemáš ďadne využitie, a teda je hulaží vo formie tuku.
15200	19600	Takže my tí sangesbej zlívtr, saž poveda, že šesity kultúriskov po celé tie roky robili zbytoční.
19600	21900	Počia to robili za účlo v naberania svalstva?
21900	22700	Tak áno.
22800	24300	Kam ty vole chodíš na tí sračky?
24300	25900	Oddenení potšební kalorický nádbitek.
25900	26900	Poslucháš se vůbec?
26900	28900	Naberé svali ze vzduchu nebo z čeho?
28900	29600	Dobre, pozdí.
29600	30100	Hmm?
30100	33000	Vieš, čo to je maintenance, teda udržiavacie kalorie.
33000	33500	Čo?
33500	36000	Vžesko zúmeš toľko, koľko tvetel aj spáli.
36000	36500	No?
36500	40500	Tvetel spáliť deni toľko, koľko je tvoja celková, dienna energetická spotreba.
40500	45500	A uvedomuješ si, že tie energetické požadávky, ktoré sú potrebne na naberanie nového svalstva,
45500	49500	sú už zahrnuté v tejto celkovedenej energetické spotrebe, opakujeme.
49500	50500	Celková!
50500	52500	Dienna energetická spotreba.
52500	56500	Každá jedna energetická požada, koľko ktorú telo má, je zahrnuta v tomto pojme.
56500	60500	Toľko, keď pokrieš, dostanej sa na maintenance, teda na udržiavačku.
60500	62500	Takže pokrieš aj tento rast svalstva.
62500	66500	A práve, toto je problés, dešlo fitness, ten očitratelen váše štúdy je, a výsledky nikde.
66500	67500	Čecho, dobre, pozdí sa.
67500	73500	Keď sa mnou nesumlasíš, to je úplne v podiatku, povedz mi, ale jeden logický argument, prečo to, o čo ja teraz tvrdím, nie je pravda.
73500	78500	Veď sa mnou pozdí na to, kulturistová trenerol, 60-ta grobia a tmy teraz ješ hovoriť, že to není potrebné.
78500	83500	Dobre, korelácia, ale neznámená príčinu. To, že oni verja, že to je potrebné pre naberanie svalstva,
83500	88500	a počasnou surpus s svalstvou aj naberú, to neznámená, že práve ten surpus je príčená rastových svalstvou.
88500	91500	A čo je podiativa? Príčená rastov s vás a vrcholových kulturistov, keď nie surpus.
91500	94500	No, u vrcholových kulturistov to je primárne anabolické steroidy.
94500	95500	No, ešte?
95500	97500	Ja teraz sa je boji žilová radna steroidina.
97500	99500	Vysajem zbrili ste, ktorí ste len toksické svíje.
99500	102500	Prečo? Lebo sa snažím hádať logické odvodnenia.
102500	105500	Lebo, turdí, že nie je pravda, niečo sa vždy robilo.
